Custom header value (HHMMSSID),Domain name,Resolved IP address
15084400,netflix.com,192.168.1.6
15084401,linkedin.com,192.168.1.7
15084402,example.com,192.168.1.8
15084403,google.com,192.168.1.9
15084404,facebook.com,192.168.1.10
15084405,amazon.com,192.168.1.6
